DATE,DEXJPUS,DEXUSUK
2010-01-01,,
2010-01-04,92.55,1.6109
2010-01-05,91.48,1.6009
2010-01-06,92.53,1.6016
2010-01-07,93.31,1.5912
2010-01-08,92.7,1.5993
2010-01-11,91.9,1.6146
2010-01-12,90.95,1.6181
2010-01-13,91.38,1.6288
2010-01-14,91.03,1.632
2010-01-15,90.79,1.624
2010-01-18,,
2010-01-19,91.13,1.637
2010-01-20,91.23,1.6287
2010-01-21,90.25,1.6214
2010-01-22,90.07,1.612
2010-01-25,90.12,1.6236
2010-01-26,89.63,1.6109
2010-01-27,89.41,1.6204
2010-01-28,90.08,1.6242
2010-01-29,90.38,1.6009
2010-02-01,90.8,1.5924
2010-02-02,90.39,1.5968
2010-02-03,91.11,1.5915
2010-02-04,89.11,1.5763
2010-02-05,89.25,1.5619
2010-02-08,89.32,1.565
2010-02-09,89.45,1.5679
2010-02-10,89.88,1.5606
2010-02-11,89.82,1.5674
2010-02-12,90.0,1.5669
2010-02-15,,
2010-02-16,90.46,1.5732
2010-02-17,90.79,1.5704
2010-02-18,91.43,1.5582
2010-02-19,91.94,1.5437
2010-02-22,91.11,1.5477
2010-02-23,90.04,1.5464
2010-02-24,90.06,1.5432
2010-02-25,88.85,1.5201
2010-02-26,88.84,1.5239
2010-03-01,89.28,1.4974
2010-03-02,88.95,1.494
2010-03-03,88.43,1.5124
2010-03-04,89.02,1.5031
2010-03-05,90.32,1.5115
2010-03-08,90.3,1.506
2010-03-09,89.89,1.5003
2010-03-10,90.62,1.4977
2010-03-11,90.6,1.5052
2010-03-12,90.46,1.5188
2010-03-15,90.45,1.5043
2010-03-16,90.43,1.5192
2010-03-17,90.42,1.5296
2010-03-18,90.46,1.5247
2010-03-19,90.5,1.5014
2010-03-22,90.02,1.5071
2010-03-23,90.24,1.5067
2010-03-24,91.89,1.4914
2010-03-25,92.69,1.4884
2010-03-26,92.56,1.4906
2010-03-29,92.65,1.4969
2010-03-30,92.89,1.509
2010-03-31,93.4,1.5186
2010-04-01,93.83,1.529
2010-04-02,94.51,1.5197
2010-04-05,94.28,1.5284
2010-04-06,93.81,1.523
2010-04-07,93.59,1.5246
2010-04-08,93.16,1.5272
2010-04-09,93.28,1.5371
2010-04-12,93.21,1.5368
2010-04-13,92.78,1.5416
2010-04-14,93.01,1.5484
2010-04-15,93.04,1.5465
2010-04-16,92.03,1.5395
2010-04-19,92.18,1.5263
2010-04-20,93.28,1.5375
2010-04-21,93.24,1.5397
2010-04-22,93.01,1.5368
2010-04-23,94.18,1.5363
2010-04-26,94.06,1.5466
2010-04-27,93.01,1.5285
2010-04-28,94.07,1.516
2010-04-29,94.16,1.5303
2010-04-30,94.24,1.5308
2010-05-03,94.68,1.5242
2010-05-04,94.58,1.5135
2010-05-05,94.3,1.5134
2010-05-06,92.22,1.4889
2010-05-07,91.67,1.4739
2010-05-10,93.39,1.498
2010-05-11,92.83,1.4952
2010-05-12,92.93,1.4855
2010-05-13,92.7,1.4659
2010-05-14,91.94,1.4557
2010-05-17,92.08,1.4388
2010-05-18,92.52,1.4439
2010-05-19,91.16,1.4349
2010-05-20,90.07,1.4344
2010-05-21,90.21,1.4466
2010-05-24,90.49,1.4437
2010-05-25,89.89,1.4352
2010-05-26,90.28,1.4401
2010-05-27,90.71,1.4569
2010-05-28,90.81,1.4492
2010-05-31,,
2010-06-01,91.16,1.4673
2010-06-02,92.21,1.4641
2010-06-03,92.33,1.4616
2010-06-04,91.83,1.4493
2010-06-07,92.0,1.4498
2010-06-08,91.3,1.4422
2010-06-09,91.54,1.4585
2010-06-10,91.04,1.4674
2010-06-11,91.72,1.4545
2010-06-14,91.8,1.477
2010-06-15,91.25,1.4827
2010-06-16,91.39,1.4838
2010-06-17,90.92,1.4806
2010-06-18,90.79,1.4787
2010-06-21,91.18,1.4826
2010-06-22,90.59,1.485
2010-06-23,89.82,1.4952
2010-06-24,89.4,1.4986
2010-06-25,89.35,1.4985
2010-06-28,89.23,1.5098
2010-06-29,88.39,1.5081
2010-06-30,88.49,1.4947
2010-07-01,87.42,1.5126
2010-07-02,87.69,1.5179
2010-07-05,,
2010-07-06,87.55,1.518
2010-07-07,87.16,1.5179
2010-07-08,88.44,1.5157
2010-07-09,88.48,1.5095
2010-07-12,88.53,1.5016
2010-07-13,88.24,1.5175
2010-07-14,88.59,1.5284
2010-07-15,87.41,1.5376
2010-07-16,86.4,1.5289
2010-07-19,86.77,1.5222
2010-07-20,87.22,1.5255
2010-07-21,87.3,1.5201
2010-07-22,87.0,1.5283
2010-07-23,87.31,1.5425
2010-07-26,87.2,1.549
2010-07-27,87.88,1.5538
2010-07-28,87.62,1.5611
2010-07-29,86.87,1.5591
2010-07-30,86.43,1.5714
2010-08-02,86.42,1.5897
2010-08-03,85.88,1.5941
2010-08-04,86.26,1.5887
2010-08-05,85.83,1.586
2010-08-06,85.25,1.5979
2010-08-09,85.88,1.5945
2010-08-10,85.88,1.5776
2010-08-11,85.36,1.5688
2010-08-12,85.83,1.5573
2010-08-13,86.2,1.558
2010-08-16,85.33,1.5679
2010-08-17,85.51,1.5586
2010-08-18,85.31,1.5619
2010-08-19,85.27,1.5612
2010-08-20,85.63,1.5515
2010-08-23,85.16,1.5532
2010-08-24,84.16,1.5471
2010-08-25,84.56,1.546
2010-08-26,84.61,1.5574
2010-08-27,85.1,1.5528
2010-08-30,84.67,1.5473
2010-08-31,84.1,1.5358
2010-09-01,84.48,1.5472
2010-09-02,84.15,1.5393
2010-09-03,84.45,1.5452
2010-09-06,,
2010-09-07,83.75,1.5315
2010-09-08,83.85,1.5513
2010-09-09,83.83,1.5448
2010-09-10,84.13,1.5387
2010-09-13,83.53,1.5466
2010-09-14,83.05,1.5559
2010-09-15,85.63,1.5641
2010-09-16,85.72,1.5612
2010-09-17,85.77,1.5635
2010-09-20,85.74,1.5564
2010-09-21,85.36,1.5551
2010-09-22,84.37,1.5649
2010-09-23,84.32,1.5723
2010-09-24,84.24,1.5829
2010-09-27,84.17,1.5851
2010-09-28,83.82,1.5808
2010-09-29,83.61,1.5812
2010-09-30,83.53,1.5731
2010-10-01,83.3,1.5829
2010-10-04,83.33,1.5849
2010-10-05,83.17,1.5915
2010-10-06,82.8,1.5903
2010-10-07,82.35,1.593
2010-10-08,81.86,1.5951
2010-10-11,,
2010-10-12,81.74,1.5799
