DATE,SP500,DJIA,VIXCLS
2010-01-01,,,
2010-01-04,,,20.04
2010-01-05,,,19.35
2010-01-06,,,19.16
2010-01-07,,,19.06
2010-01-08,,,18.13
2010-01-11,,,17.55
2010-01-12,,,18.25
2010-01-13,,,17.85
2010-01-14,,,17.63
2010-01-15,,,17.91
2010-01-18,,,
2010-01-19,,,17.58
2010-01-20,,,18.68
2010-01-21,,,22.27
2010-01-22,,,27.31
2010-01-25,,,25.41
2010-01-26,,,24.55
2010-01-27,,,23.14
2010-01-28,,,23.73
2010-01-29,,,24.62
2010-02-01,,,22.59
2010-02-02,,,21.48
2010-02-03,,,21.6
2010-02-04,,,26.08
2010-02-05,,,26.11
2010-02-08,,,26.51
2010-02-09,,,26.0
2010-02-10,,,25.4
2010-02-11,,,23.96
2010-02-12,,,22.73
2010-02-15,,,
2010-02-16,,,22.25
2010-02-17,,,21.72
2010-02-18,,,20.63
2010-02-19,,,20.02
2010-02-22,,,19.94
2010-02-23,,,21.37
2010-02-24,,,20.27
2010-02-25,,,20.1
2010-02-26,,,19.5
2010-03-01,,,19.26
2010-03-02,,,19.06
2010-03-03,,,18.83
2010-03-04,,,18.72
2010-03-05,,,17.42
2010-03-08,,,17.79
2010-03-09,,,17.92
2010-03-10,,,18.57
2010-03-11,,,18.06
2010-03-12,,,17.58
2010-03-15,,,18.0
2010-03-16,,,17.69
2010-03-17,,,16.91
2010-03-18,,,16.62
2010-03-19,,,16.97
2010-03-22,,,16.87
2010-03-23,,,16.35
2010-03-24,,,17.55
2010-03-25,,,18.4
2010-03-26,,,17.77
2010-03-29,,,17.59
2010-03-30,,,17.13
2010-03-31,,,17.59
2010-04-01,,,17.47
2010-04-02,,,
2010-04-05,,,17.02
2010-04-06,,,16.23
2010-04-07,,,16.62
2010-04-08,,,16.48
2010-04-09,,,16.14
2010-04-12,,,15.58
2010-04-13,,,16.2
2010-04-14,,,15.59
2010-04-15,,,15.89
2010-04-16,,,18.36
2010-04-19,,,17.34
2010-04-20,,,15.73
2010-04-21,,,16.32
2010-04-22,,,16.47
2010-04-23,,,16.62
2010-04-26,,,17.47
2010-04-27,,,22.81
2010-04-28,,,21.08
2010-04-29,,,18.44
2010-04-30,,,22.05
2010-05-03,,,20.19
2010-05-04,,,23.84
2010-05-05,,,24.91
2010-05-06,,,32.8
2010-05-07,,,40.95
2010-05-10,,,28.84
2010-05-11,,,28.32
2010-05-12,,,25.52
2010-05-13,,,26.68
2010-05-14,,,31.24
2010-05-17,,,30.84
2010-05-18,,,33.55
2010-05-19,,,35.32
2010-05-20,,,45.79
2010-05-21,,,40.1
2010-05-24,,,38.32
2010-05-25,,,34.61
2010-05-26,,,35.02
2010-05-27,,,29.68
2010-05-28,,,32.07
2010-05-31,,,
2010-06-01,,,35.54
2010-06-02,,,30.17
2010-06-03,,,29.46
2010-06-04,,,35.48
2010-06-07,,,36.57
2010-06-08,,,33.7
2010-06-09,,,33.73
